Month,Admissions,Lay-offs,Job_type,Year
November,261,151,Public Service,2018
December,174,236,Public Service,2018
January,276,210,Public Service,2019
February,320,196,Public Service,2019
March,196,224,Public Service,2019
April,229,160,Public Service,2019
May,194,171,Public Service,2019
June,215,287,Public Service,2019
July,218,194,Public Service,2019
August,204,210,Public Service,2019
September,164,407,Public Service,2019
October,234,230,Public Service,2019
November,365,214,Public Service,2019
December,323,275,Public Service,2019
January,294,212,Public Service,2020
February,220,198,Public Service,2020
March,215,280,Public Service,2020
April,56,230,Public Service,2020
May,167,208,Public Service,2020
January,4502,3882,Civil Construction,2000
February,4620,3714,Civil Construction,2000
March,4189,4591,Civil Construction,2000
April,4653,4023,Civil Construction,2000
May,5821,5238,Civil Construction,2000
June,6026,5094,Civil Construction,2000
July,5688,5049,Civil Construction,2000
August,4870,4714,Civil Construction,2000
September,5015,4743,Civil Construction,2000
October,5181,4593,Civil Construction,2000
November,4084,4971,Civil Construction,2000
December,3181,5574,Civil Construction,2000
January,4751,4841,Civil Construction,2001
February,4183,3365,Civil Construction,2001
March,3768,4259,Civil Construction,2001
April,4389,4087,Civil Construction,2001
May,3868,3779,Civil Construction,2001
June,4462,4236,Civil Construction,2001
July,4571,4346,Civil Construction,2001
August,4840,5330,Civil Construction,2001
September,4305,4514,Civil Construction,2001
October,4441,5257,Civil Construction,2001
November,4326,5006,Civil Construction,2001
December,2767,3696,Civil Construction,2001
January,3579,2823,Civil Construction,2002
February,3495,2774,Civil Construction,2002
March,3930,3824,Civil Construction,2002
April,3107,3999,Civil Construction,2002
May,3203,3986,Civil Construction,2002
June,2725,3342,Civil Construction,2002
July,3781,4098,Civil Construction,2002
August,4153,3896,Civil Construction,2002
September,3713,3170,Civil Construction,2002
October,4129,3980,Civil Construction,2002
November,3787,3311,Civil Construction,2002
December,1769,4087,Civil Construction,2002
January,3475,3210,Civil Construction,2003
February,3210,2510,Civil Construction,2003
March,2266,3362,Civil Construction,2003
April,2871,2908,Civil Construction,2003
May,3056,2905,Civil Construction,2003
June,4037,2679,Civil Construction,2003
July,4028,3456,Civil Construction,2003
August,3525,3327,Civil Construction,2003
September,3571,3172,Civil Construction,2003
October,3618,3534,Civil Construction,2003
November,2813,3214,Civil Construction,2003
December,1871,3409,Civil Construction,2003
January,4123,3047,Civil Construction,2004
February,3275,2740,Civil Construction,2004
March,3577,3909,Civil Construction,2004
April,3290,3369,Civil Construction,2004
May,3807,3228,Civil Construction,2004
June,3675,3470,Civil Construction,2004
July,4038,3654,Civil Construction,2004
August,3768,2786,Civil Construction,2004
September,3001,2933,Civil Construction,2004
October,3150,3440,Civil Construction,2004
November,2964,4744,Civil Construction,2004
December,2002,3769,Civil Construction,2004
January,3822,3158,Civil Construction,2005
February,2515,2470,Civil Construction,2005
March,3315,3359,Civil Construction,2005
April,3139,3044,Civil Construction,2005
May,3604,3074,Civil Construction,2005
June,3948,3322,Civil Construction,2005
July,3756,3022,Civil Construction,2005
August,3850,3040,Civil Construction,2005
September,3499,3301,Civil Construction,2005
October,3015,3040,Civil Construction,2005
November,2818,3313,Civil Construction,2005
December,2514,2961,Civil Construction,2005
January,4252,2678,Civil Construction,2006
February,3871,2768,Civil Construction,2006
March,4409,3678,Civil Construction,2006
April,3614,3205,Civil Construction,2006
May,4847,3539,Civil Construction,2006
June,4356,3641,Civil Construction,2006
July,4163,3468,Civil Construction,2006
August,4340,3853,Civil Construction,2006
September,5410,3660,Civil Construction,2006
October,5183,3585,Civil Construction,2006
November,4274,4280,Civil Construction,2006
December,3368,4188,Civil Construction,2006
January,5357,4507,Civil Construction,2007
February,3948,3500,Civil Construction,2007
March,5295,4961,Civil Construction,2007
April,5180,4124,Civil Construction,2007
May,5259,4553,Civil Construction,2007
June,6264,4975,Civil Construction,2007
July,5358,7379,Civil Construction,2007
August,6842,4981,Civil Construction,2007
September,6227,3393,Civil Construction,2007
October,6555,4032,Civil Construction,2007
November,6421,4601,Civil Construction,2007
December,4259,5003,Civil Construction,2007
January,7728,4935,Civil Construction,2008
February,7031,4417,Civil Construction,2008
March,8006,5170,Civil Construction,2008
April,7826,5520,Civil Construction,2008
May,8332,5980,Civil Construction,2008
June,8262,5628,Civil Construction,2008
July,8961,6266,Civil Construction,2008
August,8174,6388,Civil Construction,2008
September,10231,8338,Civil Construction,2008
October,7555,7185,Civil Construction,2008
November,7388,7770,Civil Construction,2008
December,5056,7567,Civil Construction,2008
January,8273,6767,Civil Construction,2009
February,7930,5552,Civil Construction,2009
March,9357,7298,Civil Construction,2009
April,8144,7670,Civil Construction,2009
May,8207,7285,Civil Construction,2009
June,8177,7765,Civil Construction,2009
July,8163,7363,Civil Construction,2009
August,8546,6885,Civil Construction,2009
September,8307,7285,Civil Construction,2009
October,8749,7196,Civil Construction,2009
November,7019,7660,Civil Construction,2009
December,6629,7980,Civil Construction,2009
January,9600,5862,Civil Construction,2010
February,8648,6195,Civil Construction,2010
March,10188,8654,Civil Construction,2010
April,8349,9625,Civil Construction,2010
May,9650,8361,Civil Construction,2010
June,9555,8337,Civil Construction,2010
July,9703,8998,Civil Construction,2010
August,10628,9184,Civil Construction,2010
September,9212,8690,Civil Construction,2010
October,8502,8855,Civil Construction,2010
November,7529,8349,Civil Construction,2010
December,5173,8405,Civil Construction,2010
January,8285,8518,Civil Construction,2011
February,9621,6823,Civil Construction,2011
March,8512,8243,Civil Construction,2011
April,10437,8472,Civil Construction,2011
May,10143,7957,Civil Construction,2011
June,10357,7916,Civil Construction,2011
July,9920,7801,Civil Construction,2011
August,9790,8632,Civil Construction,2011
September,9534,8425,Civil Construction,2011
October,8238,8585,Civil Construction,2011
November,9084,8968,Civil Construction,2011
December,6878,8875,Civil Construction,2011
January,9652,7325,Civil Construction,2012
February,10885,7206,Civil Construction,2012
March,12196,9111,Civil Construction,2012
April,11325,8485,Civil Construction,2012
May,10157,10307,Civil Construction,2012
June,9827,10893,Civil Construction,2012
July,11063,10337,Civil Construction,2012
August,11421,9459,Civil Construction,2012
September,10866,9011,Civil Construction,2012
October,11093,10054,Civil Construction,2012
November,9545,10563,Civil Construction,2012
December,6929,7995,Civil Construction,2012
January,10163,10281,Civil Construction,2013
February,9036,7267,Civil Construction,2013
March,12431,9285,Civil Construction,2013
April,11362,9931,Civil Construction,2013
May,10503,11115,Civil Construction,2013
June,10567,11676,Civil Construction,2013
July,10854,9935,Civil Construction,2013
August,11058,12290,Civil Construction,2013
September,10977,10691,Civil Construction,2013
October,11285,10644,Civil Construction,2013
November,8466,10086,Civil Construction,2013
December,4802,7132,Civil Construction,2013
January,9727,9301,Civil Construction,2014
February,12062,9126,Civil Construction,2014
March,10035,11590,Civil Construction,2014
April,9654,9791,Civil Construction,2014
May,9647,10004,Civil Construction,2014
June,9405,10990,Civil Construction,2014
July,10082,10432,Civil Construction,2014
August,10315,9236,Civil Construction,2014
September,11141,9376,Civil Construction,2014
October,10413,9539,Civil Construction,2014
November,8963,9656,Civil Construction,2014
December,5285,7307,Civil Construction,2014
January,9041,9289,Civil Construction,2015
February,8793,8644,Civil Construction,2015
March,10674,10589,Civil Construction,2015
April,9209,9877,Civil Construction,2015
May,9414,8536,Civil Construction,2015
June,10339,9323,Civil Construction,2015
July,9845,10023,Civil Construction,2015
August,9208,9811,Civil Construction,2015
September,7944,9145,Civil Construction,2015
October,7064,10178,Civil Construction,2015
November,6676,9151,Civil Construction,2015
December,4772,7943,Civil Construction,2015
January,6398,7581,Civil Construction,2016
February,6272,8539,Civil Construction,2016
March,8308,10198,Civil Construction,2016
April,7567,9943,Civil Construction,2016
May,5717,9868,Civil Construction,2016
June,5745,10747,Civil Construction,2016
July,4644,13136,Civil Construction,2016
August,4474,10061,Civil Construction,2016
September,3725,7620,Civil Construction,2016
October,3640,8389,Civil Construction,2016
November,3823,8158,Civil Construction,2016
December,2371,6858,Civil Construction,2016
January,3983,5020,Civil Construction,2017
February,3876,4989,Civil Construction,2017
March,3887,4836,Civil Construction,2017
April,4007,4594,Civil Construction,2017
May,3918,4661,Civil Construction,2017
June,4112,4388,Civil Construction,2017
July,4559,3911,Civil Construction,2017
August,3387,4993,Civil Construction,2017
September,3035,3690,Civil Construction,2017
October,3234,4014,Civil Construction,2017
November,3295,3952,Civil Construction,2017
December,2021,3697,Civil Construction,2017
January,3238,3704,Civil Construction,2018
February,2653,4137,Civil Construction,2018
March,3418,4258,Civil Construction,2018
April,3928,3793,Civil Construction,2018
May,2880,4081,Civil Construction,2018
June,3017,3365,Civil Construction,2018
July,3281,3832,Civil Construction,2018
August,3662,3738,Civil Construction,2018
September,3659,3167,Civil Construction,2018
October,3372,3495,Civil Construction,2018
November,3908,3661,Civil Construction,2018
December,2491,3406,Civil Construction,2018
January,4002,3872,Civil Construction,2019
February,3805,3242,Civil Construction,2019
March,3195,4094,Civil Construction,2019
April,3769,3981,Civil Construction,2019
May,3763,4278,Civil Construction,2019
June,4104,3875,Civil Construction,2019
July,4235,4014,Civil Construction,2019
August,4471,4030,Civil Construction,2019
September,4471,4092,Civil Construction,2019
October,4211,4266,Civil Construction,2019
November,3418,3689,Civil Construction,2019
December,2302,3441,Civil Construction,2019
January,3828,4345,Civil Construction,2020
February,3991,4393,Civil Construction,2020
March,3576,5025,Civil Construction,2020
April,1209,4813,Civil Construction,2020
May,1696,3606,Civil Construction,2020
January,13213,17852,Commerce,2000
February,12162,11776,Commerce,2000
March,12663,12889,Commerce,2000
April,12239,9917,Commerce,2000
May,12340,12070,Commerce,2000
June,12625,11744,Commerce,2000
July,12121,11569,Commerce,2000
August,12765,12584,Commerce,2000
September,11216,10294,Commerce,2000
October,12145,10832,Commerce,2000
November,13922,10151,Commerce,2000
December,12620,11908,Commerce,2000
January,12251,15622,Commerce,2001
February,11038,11935,Commerce,2001
March,11792,12406,Commerce,2001
April,13731,11454,Commerce,2001
May,12267,12073,Commerce,2001
June,12765,12426,Commerce,2001
July,12400,12561,Commerce,2001
August,12927,13191,Commerce,2001
September,13282,11480,Commerce,2001
October,12521,10336,Commerce,2001
November,13997,10625,Commerce,2001
December,12413,10156,Commerce,2001
January,10090,13258,Commerce,2002
February,9302,8461,Commerce,2002
March,10858,10643,Commerce,2002
April,10789,9742,Commerce,2002
May,11315,10863,Commerce,2002
June,9929,9049,Commerce,2002
July,10956,9926,Commerce,2002
August,11288,10018,Commerce,2002
September,11534,8854,Commerce,2002
October,12172,10177,Commerce,2002
November,13234,8480,Commerce,2002
December,11280,8922,Commerce,2002
January,10307,13476,Commerce,2003
February,10674,10123,Commerce,2003
March,8639,9247,Commerce,2003
April,10431,9197,Commerce,2003
May,10425,10834,Commerce,2003
June,10206,10031,Commerce,2003
July,10626,10488,Commerce,2003
August,10701,9944,Commerce,2003
September,10878,9313,Commerce,2003
October,10663,9266,Commerce,2003
November,12960,8366,Commerce,2003
December,11382,9994,Commerce,2003
January,10575,12495,Commerce,2004
February,11367,9324,Commerce,2004
March,11821,11715,Commerce,2004
April,10871,8568,Commerce,2004
May,11698,10215,Commerce,2004
June,11249,10779,Commerce,2004
July,11264,10509,Commerce,2004
August,12450,9719,Commerce,2004
September,11340,9641,Commerce,2004
October,11201,9100,Commerce,2004
November,14068,9463,Commerce,2004
December,13396,11578,Commerce,2004
January,10324,12803,Commerce,2005
February,10120,10356,Commerce,2005
March,12572,12838,Commerce,2005
April,12510,9554,Commerce,2005
May,12472,11787,Commerce,2005
June,12293,11608,Commerce,2005
July,12001,10910,Commerce,2005
August,12379,10895,Commerce,2005
September,12293,10353,Commerce,2005
