year;sector;area;value;variation
2011;total;uk;23100200;0.006592909
2012;agr_fish;london;1900;1.111111111
2012;agr_fish;uk;339900;-0.024677188
2012;ene_water;london;33200;-0.148717949
2012;ene_water;uk;514800;-0.005025126
2012;manu;london;137500;-0.063351499
2012;manu;uk;2892900;0.01146813
2012;const;london;268900;-0.006282336
2012;const;uk;2090900;-0.033735385
2012;dist_hot_rest;london;639400;-0.010216718
2012;dist_hot_rest;uk;5455300;0.000476828
2012;tran_com;london;482300;0.093155032
2012;tran_com;uk;2607300;0.040713687
2012;bank_fin_ins;london;1030500;0.07725277
2012;bank_fin_ins;uk;4781500;0.021797201
2012;pub_ed_hea;london;1063600;-0.01363257
2012;pub_ed_hea;uk;8883200;0.007051355
2012;other;london;267000;-0.019463827
2012;other;uk;1615500;-0.015959067
2012;total;london;3482800;0.026042894
2012;total;uk;23342800;0.010502074
2013;agr_fish;london;5000;1.631578947
2013;agr_fish;uk;325600;-0.042071197
2013;ene_water;london;35800;0.078313253
2013;ene_water;uk;530000;0.02952603
2013;manu;london;146100;0.062545455
2013;manu;uk;2898300;0.001866639
2013;const;london;286400;0.065079955
2013;const;uk;2153400;0.029891434
2013;dist_hot_rest;london;660800;0.033468877
2013;dist_hot_rest;uk;5547300;0.016864334
2013;tran_com;london;488000;0.01181837
2013;tran_com;uk;2622600;0.005868139
2013;bank_fin_ins;london;1013300;-0.016690927
2013;bank_fin_ins;uk;4931700;0.031412737
2013;pub_ed_hea;london;1118300;0.051429109
2013;pub_ed_hea;uk;8966600;0.009388509
2013;other;london;287300;0.076029963
2013;other;uk;1643400;0.017270195
2013;total;london;3567700;0.024376938
2013;total;uk;23711600;0.015799304
2014;agr_fish;london;4600;-0.08
2014;agr_fish;uk;369100;0.133599509
2014;ene_water;london;38000;0.061452514
2014;ene_water;uk;537600;0.014339623
2014;manu;london;153200;0.048596851
2014;manu;uk;2953900;0.019183659
2014;const;london;278500;-0.027583799
2014;const;uk;2190200;0.017089254
2014;dist_hot_rest;london;706500;0.069158596
2014;dist_hot_rest;uk;5648800;0.01829719
2014;tran_com;london;495000;0.014344262
2014;tran_com;uk;2650800;0.010752688
2014;bank_fin_ins;london;1092600;0.078259153
2014;bank_fin_ins;uk;5072800;0.028610824
2014;pub_ed_hea;london;1118600;0.000268264
2014;pub_ed_hea;uk;9079100;0.012546562
2014;other;london;314400;0.094326488
2014;other;uk;1739400;0.05841548
2014;total;london;3727100;0.044678645
2014;total;uk;24190900;0.020213735
2015;agr_fish;london;4200;-0.086956522
2015;agr_fish;uk;355000;-0.03820103
2015;ene_water;london;41600;0.094736842
2015;ene_water;uk;539100;0.002790179
2015;manu;london;161200;0.052219321
2015;manu;uk;2974500;0.006973831
2015;const;london;318100;0.142190305
2015;const;uk;2239800;0.022646334
2015;dist_hot_rest;london;701600;-0.006935598
2015;dist_hot_rest;uk;5695300;0.008231837
2015;tran_com;london;534900;0.080606061
2015;tran_com;uk;2772500;0.045910668
2015;bank_fin_ins;london;1124400;0.029104887
2015;bank_fin_ins;uk;5261500;0.037198391
2015;pub_ed_hea;london;1183900;0.058376542
2015;pub_ed_hea;uk;9284600;0.022634402
2015;other;london;303200;-0.03562341
2015;other;uk;1828500;0.05122456
2015;total;london;3848100;0.032464919
2015;total;uk;24842500;0.026935749
2016;agr_fish;london;1900;-0.547619048
2016;agr_fish;uk;353300;-0.004788732
2016;ene_water;london;36200;-0.129807692
2016;ene_water;uk;525000;-0.026154702
2016;manu;london;169700;0.052729529
2016;manu;uk;2922000;-0.017650025
2016;const;london;307900;-0.032065388
2016;const;uk;2208900;-0.013795875
2016;dist_hot_rest;london;719700;0.025798176
2016;dist_hot_rest;uk;5822200;0.02228153
2016;tran_com;london;575100;0.075154234
2016;tran_com;uk;2852700;0.028926961
2016;bank_fin_ins;london;1162800;0.034151547
2016;bank_fin_ins;uk;5379400;0.022408059
2016;pub_ed_hea;london;1208400;0.020694315
2016;pub_ed_hea;uk;9348500;0.006882364
2016;other;london;333100;0.098614776
2016;other;uk;1846900;0.010062893
2016;total;london;3999100;0.039240144
2016;total;uk;25249800;0.01639529
2017;agr_fish;london;2800;0.473684211
2017;agr_fish;uk;344800;-0.024058873
2017;ene_water;london;38900;0.074585635
2017;ene_water;uk;547600;0.043047619
2017;manu;london;169200;-0.002946376
2017;manu;uk;2940300;0.006262834
2017;const;london;318300;0.0337772
2017;const;uk;2334800;0.056996695
2017;dist_hot_rest;london;754300;0.048075587
2017;dist_hot_rest;uk;5946800;0.021400845
2017;tran_com;london;559100;-0.027821248
2017;tran_com;uk;2856200;0.001226908
2017;bank_fin_ins;london;1213300;0.043429653
2017;bank_fin_ins;uk;5476400;0.018031751
2017;pub_ed_hea;london;1221600;0.010923535
2017;pub_ed_hea;uk;9405600;0.006107932
2017;other;london;326600;-0.01951366
2017;other;uk;1864600;0.009583627
2017;total;london;4074900;0.018954265
2017;total;uk;25549700;0.011877322
2018;agr_fish;london;6100;1.178571429
2018;agr_fish;uk;349900;0.014791183
2018;ene_water;london;38100;-0.020565553
2018;ene_water;uk;559600;0.021913806
2018;manu;london;141500;-0.163711584
2018;manu;uk;2883000;-0.019487807
2018;const;london;310400;-0.024819353
2018;const;uk;2300600;-0.014647936
2018;dist_hot_rest;london;715400;-0.051570993
2018;dist_hot_rest;uk;5824100;-0.020632945
2018;tran_com;london;565000;0.010552674
2018;tran_com;uk;2896500;0.014109656
2018;bank_fin_ins;london;1236000;0.018709305
2018;bank_fin_ins;uk;5587600;0.02030531
2018;pub_ed_hea;london;1234300;0.010396202
2018;pub_ed_hea;uk;9629000;0.023751807
2018;other;london;340600;0.042865891
2018;other;uk;1898400;0.018127212
2018;total;london;4091300;0.004024639
2018;total;uk;25835500;0.011186041
2019;agr_fish;london;4400;-0.278688525
2019;agr_fish;uk;340900;-0.025721635
2019;ene_water;london;35400;-0.070866142
2019;ene_water;uk;549900;-0.01733381
2019;manu;london;149100;0.053710247
2019;manu;uk;2911000;0.009712105
2019;const;london;328800;0.059278351
2019;const;uk;2335900;0.015343823
2019;dist_hot_rest;london;693900;-0.030053117
2019;dist_hot_rest;uk;5843400;0.003313817
2019;tran_com;london;571500;0.011504425
2019;tran_com;uk;2961600;0.022475401
2019;bank_fin_ins;london;1249400;0.010841424
2019;bank_fin_ins;uk;5696300;0.019453791
2019;pub_ed_hea;london;1275900;0.033703314
2019;pub_ed_hea;uk;9825200;0.020375948
2019;other;london;332100;-0.02495596
2019;other;uk;1908000;0.00505689
2019;total;london;4122700;0.007674822
2019;total;uk;26234500;0.015443866
