year;sector;area;value
2013;other;london;287300.00
2013;other;uk;1643400.00
2013;total;london;3567700.00
2013;total;uk;23711600.00
2014;agr_fish;london;4600.00
2014;agr_fish;uk;369100.00
2014;ene_water;london;38000.00
2014;ene_water;uk;537600.00
2014;manu;london;153200.00
2014;manu;uk;2953900.00
2014;const;london;278500.00
2014;const;uk;2190200.00
2014;dist_hot_rest;london;706500.00
2014;dist_hot_rest;uk;5648800.00
2014;tran_com;london;495000.00
2014;tran_com;uk;2650800.00
2014;bank_fin_ins;london;1092600.00
2014;bank_fin_ins;uk;5072800.00
2014;pub_ed_hea;london;1118600.00
2014;pub_ed_hea;uk;9079100.00
2014;other;london;314400.00
2014;other;uk;1739400.00
2014;total;london;3727100.00
2014;total;uk;24190900.00
2015;agr_fish;london;4200.00
2015;agr_fish;uk;355000.00
2015;ene_water;london;41600.00
2015;ene_water;uk;539100.00
2015;manu;london;161200.00
2015;manu;uk;2974500.00
2015;const;london;318100.00
2015;const;uk;2239800.00
2015;dist_hot_rest;london;701600.00
2015;dist_hot_rest;uk;5695300.00
2015;tran_com;london;534900.00
2015;tran_com;uk;2772500.00
2015;bank_fin_ins;london;1124400.00
2015;bank_fin_ins;uk;5261500.00
2015;pub_ed_hea;london;1183900.00
2015;pub_ed_hea;uk;9284600.00
2015;other;london;303200.00
2015;other;uk;1828500.00
2015;total;london;3848100.00
2015;total;uk;24842500.00
2016;agr_fish;london;1900.00
2016;agr_fish;uk;353300.00
2016;ene_water;london;36200.00
2016;ene_water;uk;525000.00
2016;manu;london;169700.00
2016;manu;uk;2922000.00
2016;const;london;307900.00
2016;const;uk;2208900.00
2016;dist_hot_rest;london;719700.00
2016;dist_hot_rest;uk;5822200.00
2016;tran_com;london;575100.00
2016;tran_com;uk;2852700.00
2016;bank_fin_ins;london;1162800.00
2016;bank_fin_ins;uk;5379400.00
2016;pub_ed_hea;london;1208400.00
2016;pub_ed_hea;uk;9348500.00
2016;other;london;333100.00
2016;other;uk;1846900.00
2016;total;london;3999100.00
2016;total;uk;25249800.00
2017;agr_fish;london;2800.00
2017;agr_fish;uk;344800.00
2017;ene_water;london;38900.00
2017;ene_water;uk;547600.00
2017;manu;london;169200.00
2017;manu;uk;2940300.00
2017;const;london;318300.00
2017;const;uk;2334800.00
2017;dist_hot_rest;london;754300.00
2017;dist_hot_rest;uk;5946800.00
2017;tran_com;london;559100.00
2017;tran_com;uk;2856200.00
2017;bank_fin_ins;london;1213300.00
2017;bank_fin_ins;uk;5476400.00
2017;pub_ed_hea;london;1221600.00
2017;pub_ed_hea;uk;9405600.00
2017;other;london;326600.00
2017;other;uk;1864600.00
2017;total;london;4074900.00
2017;total;uk;25549700.00
2018;agr_fish;london;6100.00
2018;agr_fish;uk;349900.00
2018;ene_water;london;38100.00
2018;ene_water;uk;559600.00
2018;manu;london;141500.00
2018;manu;uk;2883000.00
2018;const;london;310400.00
2018;const;uk;2300600.00
2018;dist_hot_rest;london;715400.00
2018;dist_hot_rest;uk;5824100.00
2018;tran_com;london;565000.00
2018;tran_com;uk;2896500.00
2018;bank_fin_ins;london;1236000.00
2018;bank_fin_ins;uk;5587600.00
2018;pub_ed_hea;london;1234300.00
2018;pub_ed_hea;uk;9629000.00
2018;other;london;340600.00
